20
150
AG agente_genetico_farol_c.txt
E farol (18,18) False False 100 
 E parede (16,4) False True 0
E parede (15,4) False True 0
E parede (14,4) False True 0
E parede (13,4) False True 0
E parede (12,4) False True 0
E parede (1,2) False True 0
E parede (1,3) False True 0
E parede (1,4) False True 0
E parede (11,5) False True 0
E parede (10,5) False True 0
E parede (9,5) False True 0
E parede (4,16) False True 0
E parede (4,17) False True 0
E parede (4,18) False True 0
E parede (4,19) False True 0
E parede (1,5) False True 0
E parede (1,6) False True 0
E parede (1,7) False True 0
E parede (1,8) False True 0
E parede (9,8) False True 0
E parede (9,9) False True 0
E parede (1,9) False True 0
E parede (9,10) False True 0
E parede (1,10) False True 0
E parede (9,11) False True 0
E parede (1,11) False True 0
E parede (9,12) False True 0
E parede (1,12) False True 0
E parede (9,13) False True 0
E parede (19,14) False True 0
E parede (18,14) False True 0
E parede (17,14) False True 0
E parede (16,14) False True 0
E parede (15,14) False True 0
E parede (14,14) False True 0
E parede (13,14) False True 0
E parede (9,14) False True 0
E parede (9,15) False True 0
E parede (9,16) False True 0
