20
150
AG agente_genetico_farol_s.txt
E saida (19,10) False False 100
E parede (0,1) False True 0
E parede (0,2) False True 0
E parede (0,3) False True 0
E parede (0,4) False True 0
E parede (0,5) False True 0
E parede (0,6) False True 0
E parede (0,7) False True 0
E parede (0,8) False True 0
E parede (0,9) False True 0
E parede (0,10) False True 0
E parede (0,11) False True 0
E parede (0,12) False True 0
E parede (0,13) False True 0
E parede (0,14) False True 0
E parede (0,15) False True 0
E parede (0,16) False True 0
E parede (0,17) False True 0
E parede (0,18) False True 0
E parede (0,19) False True 0
E parede (1,1) False True 0
E parede (1,3) False True 0
E parede (1,5) False True 0
E parede (1,7) False True 0
E parede (1,9) False True 0
E parede (1,11) False True 0
E parede (1,13) False True 0
E parede (1,15) False True 0
E parede (1,17) False True 0
E parede (1,19) False True 0
E parede (2,0) False True 0
E parede (2,2) False True 0
E parede (2,4) False True 0
E parede (2,6) False True 0
E parede (2,8) False True 0
E parede (2,10) False True 0
E parede (2,12) False True 0
E parede (2,14) False True 0
E parede (2,16) False True 0
E parede (2,18) False True 0
E parede (3,1) False True 0
E parede (3,3) False True 0
E parede (3,5) False True 0
E parede (3,7) False True 0
E parede (3,9) False True 0
E parede (3,11) False True 0
E parede (3,13) False True 0
E parede (3,15) False True 0
E parede (3,17) False True 0
E parede (3,19) False True 0
E parede (4,0) False True 0
E parede (4,2) False True 0
E parede (4,4) False True 0
E parede (4,6) False True 0
E parede (4,8) False True 0
E parede (4,10) False True 0
E parede (4,12) False True 0
E parede (4,14) False True 0
E parede (4,16) False True 0
E parede (4,18) False True 0
E parede (5,1) False True 0
E parede (5,3) False True 0
E parede (5,5) False True 0
E parede (5,7) False True 0
E parede (5,9) False True 0
E parede (5,11) False True 0
E parede (5,13) False True 0
E parede (5,15) False True 0
E parede (5,17) False True 0
E parede (5,19) False True 0
E parede (6,0) False True 0
E parede (6,2) False True 0
E parede (6,4) False True 0
E parede (6,6) False True 0
E parede (6,8) False True 0
E parede (6,10) False True 0
E parede (6,12) False True 0
E parede (6,14) False True 0
E parede (6,16) False True 0
E parede (6,18) False True 0
E parede (7,1) False True 0
E parede (7,3) False True 0
E parede (7,5) False True 0
E parede (7,7) False True 0
E parede (7,9) False True 0
E parede (7,11) False True 0
E parede (7,13) False True 0
E parede (7,15) False True 0
E parede (7,17) False True 0
E parede (7,19) False True 0
E parede (8,0) False True 0
E parede (8,2) False True 0
E parede (8,4) False True 0
E parede (8,6) False True 0
E parede (8,8) False True 0
E parede (8,10) False True 0
E parede (8,12) False True 0
E parede (8,14) False True 0
E parede (8,16) False True 0
E parede (8,18) False True 0
E parede (9,1) False True 0
E parede (9,3) False True 0
E parede (9,5) False True 0
E parede (9,7) False True 0
E parede (9,9) False True 0
E parede (9,11) False True 0
E parede (9,13) False True 0
E parede (9,15) False True 0
E parede (9,17) False True 0
E parede (9,19) False True 0
E parede (10,0) False True 0
E parede (10,2) False True 0
E parede (10,4) False True 0
E parede (10,6) False True 0
E parede (10,8) False True 0
E parede (10,12) False True 0
E parede (10,14) False True 0
E parede (10,16) False True 0
E parede (10,18) False True 0
E parede (11,1) False True 0
E parede (11,3) False True 0
E parede (11,5) False True 0
E parede (11,7) False True 0
E parede (11,9) False True 0
E parede (11,11) False True 0
E parede (11,13) False True 0
E parede (11,15) False True 0
E parede (11,17) False True 0
E parede (11,19) False True 0
E parede (12,0) False True 0
E parede (12,2) False True 0
E parede (12,4) False True 0
E parede (12,6) False True 0
E parede (12,8) False True 0
E parede (12,10) False True 0
E parede (12,12) False True 0
E parede (12,14) False True 0
E parede (12,16) False True 0
E parede (12,18) False True 0
E parede (13,1) False True 0
E parede (13,3) False True 0
E parede (13,5) False True 0
E parede (13,7) False True 0
E parede (13,9) False True 0
E parede (13,11) False True 0
E parede (13,13) False True 0
E parede (13,15) False True 0
E parede (13,17) False True 0
E parede (13,19) False True 0
E parede (14,0) False True 0
E parede (14,2) False True 0
E parede (14,4) False True 0
E parede (14,6) False True 0
E parede (14,8) False True 0
E parede (14,10) False True 0
E parede (14,12) False True 0
E parede (14,14) False True 0
E parede (14,16) False True 0
E parede (14,18) False True 0
E parede (15,1) False True 0
E parede (15,3) False True 0
E parede (15,5) False True 0
E parede (15,7) False True 0
E parede (15,9) False True 0
E parede (15,11) False True 0
E parede (15,13) False True 0
E parede (15,15) False True 0
E parede (15,17) False True 0
E parede (15,19) False True 0
E parede (16,0) False True 0
E parede (16,2) False True 0
E parede (16,4) False True 0
E parede (16,6) False True 0
E parede (16,8) False True 0
E parede (16,10) False True 0
E parede (16,12) False True 0
E parede (16,14) False True 0
E parede (16,16) False True 0
E parede (16,18) False True 0
E parede (17,1) False True 0
E parede (17,3) False True 0
E parede (17,5) False True 0
E parede (17,7) False True 0
E parede (17,9) False True 0
E parede (17,11) False True 0
E parede (17,13) False True 0
E parede (17,15) False True 0
E parede (17,17) False True 0
E parede (17,19) False True 0
E parede (18,0) False True 0
E parede (18,2) False True 0
E parede (18,4) False True 0
E parede (18,6) False True 0
E parede (18,8) False True 0
E parede (18,10) False True 0
E parede (18,12) False True 0
E parede (18,14) False True 0
E parede (18,16) False True 0
E parede (18,18) False True 0
E parede (19,0) False True 0
E parede (19,1) False True 0
E parede (19,2) False True 0
E parede (19,3) False True 0
E parede (19,4) False True 0
E parede (19,5) False True 0
E parede (19,6) False True 0
E parede (19,7) False True 0
E parede (19,8) False True 0
E parede (19,9) False True 0
E parede (19,11) False True 0
E parede (19,12) False True 0
E parede (19,13) False True 0
E parede (19,14) False True 0
E parede (19,15) False True 0
E parede (19,16) False True 0
E parede (19,17) False True 0
E parede (19,18) False True 0
E parede (19,19) False True 0
