20
2000
AG agente_aleatorio_labirinto.txt
E saida (19,19) False False 100
E parede (1,0) False True 0
E parede (1,1) False True 0
E parede (1,2) False True 0
E parede (1,3) False True 0
E parede (1,4) False True 0
E parede (1,5) False True 0
E parede (1,6) False True 0
E parede (1,7) False True 0
E parede (1,8) False True 0
E parede (1,9) False True 0
E parede (1,10) False True 0
E parede (1,11) False True 0
E parede (1,12) False True 0
E parede (1,13) False True 0
E parede (1,14) False True 0
E parede (1,15) False True 0
E parede (1,16) False True 0
E parede (1,17) False True 0
E parede (1,18) False True 0
E parede (3,1) False True 0
E parede (3,2) False True 0
E parede (3,3) False True 0
E parede (3,4) False True 0
E parede (3,5) False True 0
E parede (3,6) False True 0
E parede (3,7) False True 0
E parede (3,8) False True 0
E parede (3,9) False True 0
E parede (3,10) False True 0
E parede (3,11) False True 0
E parede (3,12) False True 0
E parede (3,13) False True 0
E parede (3,14) False True 0
E parede (3,15) False True 0
E parede (3,16) False True 0
E parede (3,17) False True 0
E parede (3,18) False True 0
E parede (3,19) False True 0
E parede (5,0) False True 0
E parede (5,1) False True 0
E parede (5,2) False True 0
E parede (5,3) False True 0
E parede (5,4) False True 0
E parede (5,5) False True 0
E parede (5,6) False True 0
E parede (5,7) False True 0
E parede (5,8) False True 0
E parede (5,9) False True 0
E parede (5,10) False True 0
E parede (5,11) False True 0
E parede (5,12) False True 0
E parede (5,13) False True 0
E parede (5,14) False True 0
E parede (5,15) False True 0
E parede (5,16) False True 0
E parede (5,17) False True 0
E parede (5,18) False True 0
E parede (7,1) False True 0
E parede (7,2) False True 0
E parede (7,3) False True 0
E parede (7,4) False True 0
E parede (7,5) False True 0
E parede (7,6) False True 0
E parede (7,7) False True 0
E parede (7,8) False True 0
E parede (7,9) False True 0
E parede (7,10) False True 0
E parede (7,11) False True 0
E parede (7,12) False True 0
E parede (7,13) False True 0
E parede (7,14) False True 0
E parede (7,15) False True 0
E parede (7,16) False True 0
E parede (7,17) False True 0
E parede (7,18) False True 0
E parede (7,19) False True 0
E parede (9,0) False True 0
E parede (9,1) False True 0
E parede (9,2) False True 0
E parede (9,3) False True 0
E parede (9,4) False True 0
E parede (9,5) False True 0
E parede (9,6) False True 0
E parede (9,7) False True 0
E parede (9,8) False True 0
E parede (9,9) False True 0
E parede (9,10) False True 0
E parede (9,11) False True 0
E parede (9,12) False True 0
E parede (9,13) False True 0
E parede (9,14) False True 0
E parede (9,15) False True 0
E parede (9,16) False True 0
E parede (9,17) False True 0
E parede (9,18) False True 0
E parede (11,1) False True 0
E parede (11,2) False True 0
E parede (11,3) False True 0
E parede (11,4) False True 0
E parede (11,5) False True 0
E parede (11,6) False True 0
E parede (11,7) False True 0
E parede (11,8) False True 0
E parede (11,9) False True 0
E parede (11,10) False True 0
E parede (11,11) False True 0
E parede (11,12) False True 0
E parede (11,13) False True 0
E parede (11,14) False True 0
E parede (11,15) False True 0
E parede (11,16) False True 0
E parede (11,17) False True 0
E parede (11,18) False True 0
E parede (11,19) False True 0
E parede (13,0) False True 0
E parede (13,1) False True 0
E parede (13,2) False True 0
E parede (13,3) False True 0
E parede (13,4) False True 0
E parede (13,5) False True 0
E parede (13,6) False True 0
E parede (13,7) False True 0
E parede (13,8) False True 0
E parede (13,9) False True 0
E parede (13,10) False True 0
E parede (13,11) False True 0
E parede (13,12) False True 0
E parede (13,13) False True 0
E parede (13,14) False True 0
E parede (13,15) False True 0
E parede (13,16) False True 0
E parede (13,17) False True 0
E parede (13,18) False True 0
E parede (15,1) False True 0
E parede (15,2) False True 0
E parede (15,3) False True 0
E parede (15,4) False True 0
E parede (15,5) False True 0
E parede (15,6) False True 0
E parede (15,7) False True 0
E parede (15,8) False True 0
E parede (15,9) False True 0
E parede (15,10) False True 0
E parede (15,11) False True 0
E parede (15,12) False True 0
E parede (15,13) False True 0
E parede (15,14) False True 0
E parede (15,15) False True 0
E parede (15,16) False True 0
E parede (15,17) False True 0
E parede (15,18) False True 0
E parede (15,19) False True 0
E parede (17,0) False True 0
E parede (17,1) False True 0
E parede (17,2) False True 0
E parede (17,3) False True 0
E parede (17,4) False True 0
E parede (17,5) False True 0
E parede (17,6) False True 0
E parede (17,7) False True 0
E parede (17,8) False True 0
E parede (17,9) False True 0
E parede (17,10) False True 0
E parede (17,11) False True 0
E parede (17,12) False True 0
E parede (17,13) False True 0
E parede (17,14) False True 0
E parede (17,15) False True 0
E parede (17,16) False True 0
E parede (17,17) False True 0
E parede (17,18) False True 0
E parede (19,0) False True 0
E parede (19,1) False True 0
E parede (19,2) False True 0
E parede (19,3) False True 0
E parede (19,4) False True 0
E parede (19,5) False True 0
E parede (19,6) False True 0
E parede (19,7) False True 0
E parede (19,8) False True 0
E parede (19,9) False True 0
E parede (19,10) False True 0
E parede (19,11) False True 0
E parede (19,12) False True 0
E parede (19,13) False True 0
E parede (19,14) False True 0
E parede (19,15) False True 0
E parede (19,16) False True 0
E parede (19,17) False True 0
E parede (19,18) False True 0
