20
300
AG agente_genetico_labirinto.txt
E saida (10,9) False False 100
E parede (2,0) False True 0
E parede (3,0) False True 0
E parede (4,0) False True 0
E parede (5,0) False True 0
E parede (6,0) False True 0
E parede (7,0) False True 0
E parede (8,0) False True 0
E parede (9,0) False True 0
E parede (10,0) False True 0
E parede (11,0) False True 0
E parede (12,0) False True 0
E parede (13,0) False True 0
E parede (14,0) False True 0
E parede (15,0) False True 0
E parede (16,0) False True 0
E parede (17,0) False True 0
E parede (18,0) False True 0
E parede (19,0) False True 0
E parede (0,1) False True 0
E parede (2,1) False True 0
E parede (4,1) False True 0
E parede (5,1) False True 0
E parede (6,1) False True 0
E parede (8,1) False True 0
E parede (10,1) False True 0
E parede (12,1) False True 0
E parede (13,1) False True 0
E parede (14,1) False True 0
E parede (16,1) False True 0
E parede (18,1) False True 0
E parede (19,1) False True 0
E parede (4,2) False True 0
E parede (8,2) False True 0
E parede (10,2) False True 0
E parede (16,2) False True 0
E parede (0,3) False True 0
E parede (1,3) False True 0
E parede (2,3) False True 0
E parede (4,3) False True 0
E parede (5,3) False True 0
E parede (6,3) False True 0
E parede (7,3) False True 0
E parede (8,3) False True 0
E parede (10,3) False True 0
E parede (11,3) False True 0
E parede (12,3) False True 0
E parede (13,3) False True 0
E parede (14,3) False True 0
E parede (15,3) False True 0
E parede (16,3) False True 0
E parede (17,3) False True 0
E parede (19,3) False True 0
E parede (0,4) False True 0
E parede (4,4) False True 0
E parede (10,4) False True 0
E parede (14,4) False True 0
E parede (18,4) False True 0
E parede (19,4) False True 0
E parede (0,5) False True 0
E parede (1,5) False True 0
E parede (2,5) False True 0
E parede (4,5) False True 0
E parede (6,5) False True 0
E parede (7,5) False True 0
E parede (8,5) False True 0
E parede (10,5) False True 0
E parede (11,5) False True 0
E parede (12,5) False True 0
E parede (14,5) False True 0
E parede (16,5) False True 0
E parede (19,5) False True 0
E parede (0,6) False True 0
E parede (2,6) False True 0
E parede (6,6) False True 0
E parede (14,6) False True 0
E parede (16,6) False True 0
E parede (17,6) False True 0
E parede (18,6) False True 0
E parede (19,6) False True 0
E parede (0,7) False True 0
E parede (2,7) False True 0
E parede (3,7) False True 0
E parede (4,7) False True 0
E parede (5,7) False True 0
E parede (6,7) False True 0
E parede (8,7) False True 0
E parede (9,7) False True 0
E parede (10,7) False True 0
E parede (11,7) False True 0
E parede (12,7) False True 0
E parede (14,7) False True 0
E parede (19,7) False True 0
E parede (0,8) False True 0
E parede (8,8) False True 0
E parede (12,8) False True 0
E parede (14,8) False True 0
E parede (15,8) False True 0
E parede (16,8) False True 0
E parede (17,8) False True 0
E parede (19,8) False True 0
E parede (0,9) False True 0
E parede (1,9) False True 0
E parede (2,9) False True 0
E parede (3,9) False True 0
E parede (4,9) False True 0
E parede (5,9) False True 0
E parede (6,9) False True 0
E parede (8,9) False True 0
E parede (12,9) False True 0
E parede (19,9) False True 0
E parede (0,10) False True 0
E parede (6,10) False True 0
E parede (8,10) False True 0
E parede (12,10) False True 0
E parede (13,10) False True 0
E parede (14,10) False True 0
E parede (15,10) False True 0
E parede (16,10) False True 0
E parede (17,10) False True 0
E parede (18,10) False True 0
E parede (19,10) False True 0
E parede (0,11) False True 0
E parede (2,11) False True 0
E parede (3,11) False True 0
E parede (4,11) False True 0
E parede (5,11) False True 0
E parede (6,11) False True 0
E parede (8,11) False True 0
E parede (10,11) False True 0
E parede (11,11) False True 0
E parede (12,11) False True 0
E parede (19,11) False True 0
E parede (0,12) False True 0
E parede (2,12) False True 0
E parede (8,12) False True 0
E parede (14,12) False True 0
E parede (15,12) False True 0
E parede (16,12) False True 0
E parede (17,12) False True 0
E parede (19,12) False True 0
E parede (0,13) False True 0
E parede (2,13) False True 0
E parede (4,13) False True 0
E parede (5,13) False True 0
E parede (6,13) False True 0
E parede (7,13) False True 0
E parede (8,13) False True 0
E parede (10,13) False True 0
E parede (11,13) False True 0
E parede (12,13) False True 0
E parede (14,13) False True 0
E parede (19,13) False True 0
E parede (0,14) False True 0
E parede (4,14) False True 0
E parede (10,14) False True 0
E parede (14,14) False True 0
E parede (15,14) False True 0
E parede (16,14) False True 0
E parede (17,14) False True 0
E parede (18,14) False True 0
E parede (19,14) False True 0
E parede (0,15) False True 0
E parede (1,15) False True 0
E parede (2,15) False True 0
E parede (4,15) False True 0
E parede (6,15) False True 0
E parede (7,15) False True 0
E parede (8,15) False True 0
